Ticker|Price|Market Cap|P/E|P/S|P/B|Forward P/E|EPS (ttm)|EPS this Y|EPS next Y|EPS next 5Y|EPS past 3/5Y|52W High|52W Low|RSI (14)|Recom|Target Price|PEG (Fwd P/E to EPS 5Y Groth)
NVDA|217.55|5242.96B|27.50|17.31|22.94|14.01|7.91|94.43%|67.38%|63.38%|204.08% 95.27%|236.54 -8.03%|164.07 32.60%|52.34|1.21|334.67|0.2210
AAPL|319.70|4665.76B|36.65|9.99|43.44|33.57|8.72|18.42%|7.81%|12.49%|6.89% 17.91%|344.57 -7.22%|225.95 41.49%|57.36|2.11|333.10|2.6878
GOOG|342.88|4218.29B|17.23|9.45|6.74|22.72|19.91|90.26%|-26.63%|18.08%|33.35% 29.82%|404.47 -15.23%|206.96 65.67%|47.96|1.27|426.34|1.2566
MSFT|513.53|3813.24B|28.62|11.49|8.62|21.87|17.95|14.14%|19.04%|18.29%|22.83% 17.38%|553.72 -7.26%|349.20 47.06%|73.07|1.25|563.92|1.1957
AMZN|266.43|2873.80B|21.43|3.70|5.21|25.11|12.43|76.34%|-16.06%|24.47%|- 27.96%|287.20 -7.23%|196.00 35.93%|55.85|1.21|330.28|1.0262
TSM|417.52|2165.46B|30.13|15.16|10.72|19.18|13.86|58.63%|30.80%|37.93%|17.37% 25.67%|479.00 -12.84%|225.63 85.05%|49.59|1.31|542.64|0.5057
SPCX|141.50|1920.31B|-|-|14.65|-|-|-|-|-|-3.29% -|225.64 -37.29%|104.83 34.98%|54.79|1.70|226.26|N/A
AVGO|368.79|1754.55B|61.39|23.25|20.01|18.85|6.01|70.02%|68.69%|56.98%|21.56% 49.76%|495.00 -25.50%|287.17 28.42%|42.74|1.30|534.10|0.3308
META|578.02|1472.51B|21.77|6.45|5.64|17.07|26.55|33.67%|7.86%|18.43%|39.86% 18.41%|790.80 -26.91%|520.26 11.10%|49.56|1.29|745.38|0.9262
TSLA|348.75|1377.40B|324.03|13.29|15.86|155.64|1.08|1.47%|33.03%|23.67%|-33.28% 38.32%|498.83 -30.09%|297.38 17.27%|50.89|2.45|374.27|6.5754
SKHY|161.04|1173.76B|10.46|9.10|6.76|4.84|15.40|518.43%|34.24%|109.13%|159.13% 49.26%|194.80 -17.33%|124.80 29.04%|51.16|1.18|253.00|0.0444
MU|932.86|1053.57B|21.12|11.67|10.46|6.00|44.17|785.02%|111.80%|173.61%|-0.66% 26.19%|1255.00 -25.67%|114.25 716.51%|50.68|1.25|1575.35|0.0346
AMD|465.58|760.05B|119.49|18.40|11.30|29.60|3.90|82.98%|106.17%|75.71%|46.65% 5.13%|584.73 -20.38%|149.22 212.01%|44.83|1.52|625.35|0.3910
ASML|1696.16|653.73B|52.81|15.87|26.20|28.26|32.12|47.72%|37.57%|37.51%|23.38% 23.58%|1999.96 -15.19%|716.20 136.83%|43.36|1.43|2320.02|0.7534
INTC|89.47|470.12B|-|8.24|5.15|43.24|-2.12|256.65%|38.13%|93.94%|- -|142.35 -37.15%|23.68 277.83%|41.50|2.43|121.24|0.4603
PLTR|186.29|447.67B|159.21|72.72|45.80|81.64|1.17|112.65%|43.07%|66.12%|- -|207.52 -10.23%|106.37 75.13%|69.28|1.89|200.88|1.2347
ORCL|150.85|434.52B|25.90|6.45|11.57|13.78|5.82|5.68%|35.81%|26.60%|23.77% 5.08%|345.72 -56.37%|114.50 31.75%|56.06|1.60|249.45|0.5180
LRCX|301.90|377.77B|52.38|16.26|30.29|25.71|5.76|62.90%|23.86%|32.64%|20.16% 16.46%|438.50 -31.15%|94.11 220.79%|44.42|1.41|381.74|0.7877
AMAT|461.67|366.38B|39.81|11.88|14.30|24.72|11.60|36.03%|45.72%|37.36%|5.19% 17.18%|739.67 -37.58%|154.46 198.88%|37.63|1.48|667.00|0.6617
NFLX|81.72|340.28B|25.75|6.98|11.29|21.43|3.17|42.21%|5.98%|21.84%|36.44% 32.98%|126.71 -35.51%|65.08 25.57%|62.64|1.70|94.32|0.9812
ARM|239.05|255.31B|245.23|49.52|29.58|79.07|0.97|25.80%|35.77%|31.46%|18.34% 17.48%|452.70 -47.19%|100.02 139.00%|39.96|1.84|295.43|2.5134
KLAC|175.54|229.35B|47.86|16.90|36.13|26.36|3.67|45.82%|21.46%|27.77%|14.87% 22.32%|307.37 -42.89%|83.22 110.92%|35.86|1.77|239.62|0.9492
CRWD|218.40|223.63B|6117.65|41.44|43.83|137.90|0.04|34.34%|26.43%|29.61%|6.21% -8.78%|229.08 -4.66%|85.68 154.90%|58.21|1.65|232.50|4.6572
SNDK|1484.98|217.43B|20.37|10.74|13.78|5.75|72.89|197.28%|22.55%|55.29%|- -|2354.39 -36.93%|48.56 2958.03%|49.32|1.52|2267.88|0.1040
CRM|256.00|210.69B|23.33|4.80|5.49|16.06|10.97|29.43%|-1.63%|13.66%|234.40% 12.24%|269.11 -4.87%|146.32 74.96%|80.79|1.72|261.92|1.1757
MRVL|216.62|189.71B|71.43|20.07|10.41|32.40|3.03|47.81%|59.29%|52.32%|- -|329.88 -34.33%|61.44 252.57%|47.16|1.44|291.26|0.6193
QCOM|164.19|172.44B|19.00|3.91|6.27|16.08|8.64|-12.17%|-3.39%|3.15%|-23.90% 2.08%|259.92 -36.83%|121.99 34.59%|48.50|2.61|201.00|5.1048
NOW|144.71|149.63B|90.42|10.16|11.95|28.84|1.60|16.01%|23.24%|20.17%|73.56% 70.18%|194.73 -25.69%|81.24 78.13%|72.72|1.35|142.25|1.4298
GLW|148.98|128.33B|68.33|7.56|10.75|34.51|2.18|30.03%|31.77%|32.99%|6.07% 27.86%|271.78 -45.18%|66.14 125.25%|44.57|1.57|192.86|1.0461
ADBE|291.52|115.88B|16.67|4.60|10.10|10.60|17.48|16.54%|12.73%|14.49%|18.25% 9.04%|370.86 -21.39%|190.12 53.33%|68.81|2.65|253.90|0.7315
SNOW|328.00|113.68B|-|22.59|58.61|119.39|-3.51|54.79%|42.00%|45.36%|-16.43% -16.08%|341.95 -4.08%|118.30 177.26%|61.28|1.37|339.53|2.6321
NET|299.84|106.77B|-|42.50|65.88|179.48|-0.58|35.57%|32.51%|34.44%|20.88% 5.92%|332.22 -9.75%|158.83 88.78%|54.33|1.86|342.96|5.2114
